N38324	health	medical	How to Get Rid of Skin Tags, According to a Dermatologist	They seem harmless, but there's a very good reason you shouldn't ignore them. The post How to Get Rid of Skin Tags, According to a Dermatologist appeared first on Reader's Digest.	https://assets.msn.com/labs/mind/AAAKEkt.html	"[{""Label"": ""Skin tag"", ""Type"": ""C"", ""WikidataId"": ""Q3179593"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Skin Tags""]}]"	"[{""Label"": ""Skin tag"", ""Type"": ""C"", ""WikidataId"": ""Q3179593"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [105], ""SurfaceForms"": [""Skin Tags""]}, {""Label"": ""Dermatology"", ""Type"": ""C"", ""WikidataId"": ""Q171171"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [131], ""SurfaceForms"": [""Dermatologist""]}, {""Label"": ""Reader's Digest"", ""Type"": ""M"", ""WikidataId"": ""Q371820"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [163], ""SurfaceForms"": [""Reader's Digest""]}]"
N35518	health	voices	I'm Sorry, But Please Do Not Put Your Purse On My Couch	Welcome to my house, please drop your bag right there.	https://assets.msn.com/labs/mind/AAEKz14.html	[]	[]
N3395	tv	tv-gallery	TV shows we're most excited about for the rest of the year	"From HBO originals like ""His Dark Materials"" to the new season of Netflix's ""The Crown,"" here are some of the shows we can't wait to watch."	https://assets.msn.com/labs/mind/AAGC54l.html	[]	"[{""Label"": ""HBO"", ""Type"": ""O"", ""WikidataId"": ""Q23633"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""HBO""]}, {""Label"": ""His Dark Materials"", ""Type"": ""U"", ""WikidataId"": ""Q129240"", ""Confidence"": 0.926, ""OccurrenceOffsets"": [25], ""SurfaceForms"": [""His Dark Materials""]}, {""Label"": ""Netflix"", ""Type"": ""O"", ""WikidataId"": ""Q907311"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [66], ""SurfaceForms"": [""Netflix""]}]"
N61864	news	newsopinion	The News In Cartoons	News as seen through the eyes of the nation's editorial cartoonists.	https://assets.msn.com/labs/mind/AABGTFJ.html	[]	[]
N34169	lifestyle	lifestyleroyals	When royals lose their tempers, from the Queen to Kate Middleton	See all the times the royal family have lost their tempers in public.	https://assets.msn.com/labs/mind/AACkZ0W.html	"[{""Label"": ""Catherine, Duchess of Cambridge"", ""Type"": ""P"", ""WikidataId"": ""Q10479"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [50], ""SurfaceForms"": [""Kate Middleton""]}]"	[]
N22679	sports	golf	Dissecting the softer, gentler Tiger Woods	The truth is that Tiger has been a nicer person than he has received credit for.	https://assets.msn.com/labs/mind/AAJwfsl.html	"[{""Label"": ""Tiger Woods"", ""Type"": ""P"", ""WikidataId"": ""Q10993"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [31], ""SurfaceForms"": [""Tiger Woods""]}]"	"[{""Label"": ""Tiger Woods"", ""Type"": ""P"", ""WikidataId"": ""Q10993"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Tiger""]}]"
N31402	foodanddrink	restaurantsandnews	The Best Seafood Restaurant in All 50 States	Think there are too many seafood places in Maine to choose among, but none in landlocked Nebraska? This list will point your cravings and more in the right direction. Whether it's shrimp, crab, fish, or sushi that you love, even the most landlocked states have top-notch options for seafood. Find out what's near you.	https://assets.msn.com/labs/mind/AACkb8L.html	[]	"[{""Label"": ""Maine"", ""Type"": ""G"", ""WikidataId"": ""Q724"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [43], ""SurfaceForms"": [""Maine""]}, {""Label"": ""Nebraska"", ""Type"": ""G"", ""WikidataId"": ""Q1553"", ""Confidence"": 0.999, ""OccurrenceOffsets"": [89], ""SurfaceForms"": [""Nebraska""]}]"
N30290	foodanddrink	restaurantsandnews	The Real Reason McDonald's Keeps the Filet-O-Fish on Their Menu	It's something of an underdog story.	https://assets.msn.com/labs/mind/AAGaoIu.html	"[{""Label"": ""McDonald's"", ""Type"": ""O"", ""WikidataId"": ""Q38076"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [16], ""SurfaceForms"": [""McDonald's""]}, {""Label"": ""Filet-O-Fish"", ""Type"": ""J"", ""WikidataId"": ""Q2705946"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""the Filet-O-Fish""]}]"	[]
N61914	finance	finance-career	50 Great Jobs for Retirees	Retirement doesn't necessarily mean that work stops. For many retirees, work is a financial necessity, while others continue working for social reasons. Seniors can build on their previous careers or branch out into a new area they've always enjoyed. Check out these employment ideas to see which might be best for you.	https://assets.msn.com/labs/mind/AACLYy8.html	"[{""Label"": ""Pensioner"", ""Type"": ""C"", ""WikidataId"": ""Q1749879"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [18], ""SurfaceForms"": [""Retirees""]}]"	"[{""Label"": ""Old age"", ""Type"": ""C"", ""WikidataId"": ""Q191089"", ""Confidence"": 0.945, ""OccurrenceOffsets"": [153], ""SurfaceForms"": [""Seniors""]}, {""Label"": ""Pensioner"", ""Type"": ""C"", ""WikidataId"": ""Q1749879"", ""Confidence"": 0.995, ""OccurrenceOffsets"": [62], ""SurfaceForms"": [""retirees""]}]"
N23386	lifestyle	voices	I'm an American who moved to Canada  here's why I'll never move back	From soon-to-be legalized marijuana to healthcare, here are some of the reasons I think Canada is better than the US and why I plan to stay.	https://assets.msn.com/labs/mind/AAC9ySW.html	"[{""Label"": ""Canada"", ""Type"": ""G"", ""WikidataId"": ""Q16"", ""Confidence"": 0.989, ""OccurrenceOffsets"": [29], ""SurfaceForms"": [""Canada""]}]"	"[{""Label"": ""Canada"", ""Type"": ""G"", ""WikidataId"": ""Q16"", ""Confidence"": 0.989, ""OccurrenceOffsets"": [88], ""SurfaceForms"": [""Canada""]}, {""Label"": ""United States"", ""Type"": ""G"", ""WikidataId"": ""Q30"", ""Confidence"": 0.977, ""OccurrenceOffsets"": [114], ""SurfaceForms"": [""US""]}]"
N38308	health	medical	45 Sneaky Signs You're Unhealthier Than You May Think	There's a big difference between thinking you're healthy and actually being healthy. Discover the silent health symptoms that often go ignored.	https://assets.msn.com/labs/mind/AABUaQV.html	[]	"[{""Label"": ""Discover (magazine)"", ""Type"": ""M"", ""WikidataId"": ""Q733742"", ""Confidence"": 0.981, ""OccurrenceOffsets"": [85], ""SurfaceForms"": [""Discover""]}]"
N61681	lifestyle	lifestylehomeandgarden	18 Electric Wiring Fails That Will Make You Wince	It's best not to take shortcuts when it comes to the electrical work in your home. Take a look at these 18 electric wiring fails that will make you wince and learn what not to do!	https://assets.msn.com/labs/mind/AAGJvMP.html	"[{""Label"": ""Electrical wiring"", ""Type"": ""C"", ""WikidataId"": ""Q192043"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [3], ""SurfaceForms"": [""Electric Wiring""]}]"	[]
N61203	lifestyle	lifestylecelebstyle	Zendaya, Nicole Kidman and More Best Dressed Stars at Elle's Women in Hollywood Event	The ladies dressed to impress in Beverly Hills, California, Monday night.	https://assets.msn.com/labs/mind/AAINbdS.html	"[{""Label"": ""Zendaya"", ""Type"": ""P"", ""WikidataId"": ""Q189489"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Zendaya""]}, {""Label"": ""Nicole Kidman"", ""Type"": ""P"", ""WikidataId"": ""Q37459"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [9], ""SurfaceForms"": [""Nicole Kidman""]}]"	"[{""Label"": ""Beverly Hills, California"", ""Type"": ""G"", ""WikidataId"": ""Q127856"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [33], ""SurfaceForms"": [""Beverly Hills""]}, {""Label"": ""California"", ""Type"": ""G"", ""WikidataId"": ""Q99"", ""Confidence"": 0.99, ""OccurrenceOffsets"": [48], ""SurfaceForms"": [""California""]}]"
N49134	sports	racing	Matt Tifft will miss rest of season after suffering seizure at Martinsville	John Hunter Nemechek will drive the No. 36 car for Front Row Motorsports the final three Cup races of the season.	https://assets.msn.com/labs/mind/AAJwgEq.html	"[{""Label"": ""Matt Tifft"", ""Type"": ""P"", ""WikidataId"": ""Q18358010"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""Matt Tifft""]}, {""Label"": ""Martinsville Speedway"", ""Type"": ""U"", ""WikidataId"": ""Q1815381"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [63], ""SurfaceForms"": [""Martinsville""]}]"	"[{""Label"": ""NASCAR Cup Series"", ""Type"": ""N"", ""WikidataId"": ""Q2707177"", ""Confidence"": 0.979, ""OccurrenceOffsets"": [89], ""SurfaceForms"": [""Cup""]}, {""Label"": ""John Hunter Nemechek"", ""Type"": ""P"", ""WikidataId"": ""Q5345471"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [0], ""SurfaceForms"": [""John Hunter Nemechek""]}, {""Label"": ""Front Row Motorsports"", ""Type"": ""O"", ""WikidataId"": ""Q785130"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [51], ""SurfaceForms"": [""Front Row Motorsports""]}]"
N58332	entertainment	celebrity	From cat names to fruit, here are 11 bizarre things celebrities have tried to trademark	From Taylor Swift to Kylie Jenner, a lot of stars have tried to trademark things like commonly used terms, song lyrics, and signature catchphrases.	https://assets.msn.com/labs/mind/AADzrTr.html	[]	"[{""Label"": ""Taylor Swift"", ""Type"": ""P"", ""WikidataId"": ""Q26876"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [5], ""SurfaceForms"": [""Taylor Swift""]}, {""Label"": ""Kylie Jenner"", ""Type"": ""P"", ""WikidataId"": ""Q1770624"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [21], ""SurfaceForms"": [""Kylie Jenner""]}]"
N44959	lifestyle	lifestyledidyouknow	Tour the abandoned Outlaw House with an FBI connection	The home of a billionaire business mogul and a rumored FBI agent, there's more to this abandoned house in Mobile, Alabama, than meets the eye. Captured by intrepid photographer Leland Kent of Abandoned Southeast, step inside and unravel this curious tale for yourself...	https://assets.msn.com/labs/mind/AAGKO6J.html	"[{""Label"": ""Federal Bureau of Investigation"", ""Type"": ""O"", ""WikidataId"": ""Q8333"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [40], ""SurfaceForms"": [""FBI""]}]"	"[{""Label"": ""Leland Kent"", ""Type"": ""N"", ""WikidataId"": ""Q65598596"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [177], ""SurfaceForms"": [""Leland Kent""]}, {""Label"": ""Alabama"", ""Type"": ""G"", ""WikidataId"": ""Q173"", ""Confidence"": 0.998, ""OccurrenceOffsets"": [114], ""SurfaceForms"": [""Alabama""]}, {""Label"": ""Mobile, Alabama"", ""Type"": ""G"", ""WikidataId"": ""Q79875"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [106], ""SurfaceForms"": [""Mobile""]}, {""Label"": ""Federal Bureau of Investigation"", ""Type"": ""O"", ""WikidataId"": ""Q8333"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [55], ""SurfaceForms"": [""FBI""]}]"
N17286	sports	baseball_mlb	Here's what history says about Astros' chances of World Series comeback against Nationals	According to MLB.com, teams that have gone down 0-2 at home in the 2-3-2 format have won the World Series three of 25 times. Game 3 at Nats is Friday.	https://assets.msn.com/labs/mind/AAJl4sV.html	"[{""Label"": ""Washington Nationals"", ""Type"": ""O"", ""WikidataId"": ""Q825838"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [80], ""SurfaceForms"": [""Nationals""]}, {""Label"": ""World Series"", ""Type"": ""E"", ""WikidataId"": ""Q265538"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [50], ""SurfaceForms"": [""World Series""]}, {""Label"": ""Houston Astros"", ""Type"": ""O"", ""WikidataId"": ""Q848117"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [31], ""SurfaceForms"": [""Astros""]}]"	"[{""Label"": ""Washington Nationals"", ""Type"": ""O"", ""WikidataId"": ""Q825838"", ""Confidence"": 1.0, ""OccurrenceOffsets"": [135], ""SurfaceForms"": [""Nats""]}, {""Label"": ""World Series"", ""Type"": ""E"", ""WikidataId"": ""Q265538"", ""Confidence"": 0.996, ""OccurrenceOffsets"": [93], ""SurfaceForms"": [""World Series""]}]"
